Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C7",1206,4,100n,
"C3, C4",1206,2,1u,
C6,C_Radial_D6.3mm_H11.0mm_P2.50mm,1,10u,
C8,1206,1,10u,
D1,1206,1,LED,
D2,D_SMC,1,SMCJ54A,
F1,Fuseholder_Cylinder-5x20mm_EATON_HBV_Vertical_Closed,1,Fuse,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965,4,MountingHole,
HS1,Fischer_Heatsink_LA6_150,1,Heatsink,
J1,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,1,Conn_01x05,
J2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,
"J3, J4",BANANA_CONN,2,BANANA_CONN,
"Q1, Q11, Q13, Q2, Q4, Q7, Q9",SOT-323_SC-70,7,2SC4117,
"Q10, Q12, Q14, Q8",TO-220F-3_Vertical_BCE,4,BDW94CFP,
"Q3, Q5, Q6",SOT-23,3,MMBT5401,
"R1, R26",1206,2,6k8,
R10,1206,1,27k,
"R11, R16, R19, R22, R23",1206,5,10k,
"R12, R40",1206,2,1k,
R13,1206,1,6M5,
R14,1206,1,12k,
"R15, R4, R7",1206,3,15k,
R17,1206,1,220R,
"R18, R21, R3, R6",1206,4,100k,
R2,1206,1,200R,
"R20, R25, R5",1206,3,4k7,
R24,1206,1,22k,
"R27, R28, R29, R30, R31, R32, R33, R34",R_Axial_DIN0922_L20.0mm_D9.0mm_P30.48mm_Horizontal,8,0R22,
"R35, R36, R37, R38",1206,4,10R,
R39,1206,1,47R,
R8,1206,1,100R,
R9,1206,1,68k,
RV1,TRIM_3590S-2-103L,1,R_Potentiometer,
"RV2, RV5",TRIM_3362P-1-102LF,2,100R,
"RV3, RV4",TRIM_3362P-1-102LF,2,1k,
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_1.0x1.0mm,10,TestPoint,
U1,SOIC-14W_7.5x9mm_P1.27mm,1,LM10CWM,
